Network,Weight,Samples,Solvers,Formulation,Max,Min,Average,Variables,Non-zeros,% Feasible
net30_0.01_200.txt,0.01,200,SA,linear,52,28,41.716312056737586,441,2643,98.7
net30_0.01_200.txt,0.01,200,SA,binary,52,29,42.18642350557244,441,2643,98.7
