Network,Weight,Samples,Solvers,Formulation,Max,Min,Average,Variables,Non-zeros,% Feasible
net30_0.05_200.txt,0.05,200,SA,linear,64,29,47.95757454472684,524,4058,99.94
net30_0.05_200.txt,0.05,200,SA,binary,65,32,49.35067013402681,497,3601,99.98
net30_0.05_200.txt,0.05,200,QA,linear,102,77,89.57142857142857,524,4058,0.13999999999999999
net30_0.05_200.txt,0.05,200,QA,binary,97,79,88.66666666666667,497,3601,0.18
